,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,gu,주소,위도,경도,cnt
108,정묘사,부산 부산진구,역사관광지,고택/생가/민속마을,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
109,LG디스커버리랩부산,부산 부산진구 새싹로 165-0,문화시설,과학관,Busanjin-gu,부산 부산진구 새싹로 165-0,35.1608974,129.056557,127
110,롯데시네마서면,부산 부산진구 동천로 92-0,공연/행사,극장,Busanjin-gu,부산 부산진구 동천로 92-0,35.1547911,129.0617297,127
111,롯데시네마부산본점,부산 부산진구 가야대로 772-0,공연/행사,극장,Busanjin-gu,부산 부산진구 가야대로 772,35.156721950000005,129.05606329100732,127
112,놀이똥산부산점,부산 부산진구 중앙대로 672-0,휴양관광지,테마파크,Busanjin-gu,부산 부산진구 중앙대로 672,35.152987499999995,129.0596350607664,127
113,부산영어도서관,부산 부산진구 가야대로 734-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 가야대로 734,35.1566914,129.05235793696414,127
114,감로사,부산 부산진구,역사관광지,절,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
115,송상현동상,부산 부산진구,역사관광지,기념비,Busanjin-gu,부산 부산진구,35.1632335,129.0529462,127
116,호천생활문화센터,부산 부산진구 엄광로495번가길 36-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 엄광로495번가길 36-0,35.1430533,129.0513726,127
117,보각사,부산 부산진구 안창로10번길 36-11,역사관광지,절,Busanjin-gu,부산 부산진구 안창로10번길 36-11,35.1461854,129.0453771,127
118,서면미술관,부산 부산진구 동천로 58-0,문화시설,미술관,Busanjin-gu,부산 부산진구 동천로 58-0,35.1547911,129.0617297,127
119,부산진구어린이청소년도서관,부산 부산진구 백양순환로110번길 25-0,문화시설,문화생활시설기타,Busanjin-gu,부산 부산진구 백양순환로110번길 25-0,35.1677492,129.0396677,127
