순위,관광지명,주소,분류,현지인 검색 수
66,부산산업용재유통상가1동,부산 사상구 새벽로 131-0,쇼핑기타,246
67,하카전자담배사상직영점,부산 사상구 사상로 179-0,쇼핑기타,243
68,부산보훈병원재활체육관,부산 사상구 백양대로 420-0,운동장,241
69,브라운도트엄궁점,부산 사상구 낙동대로 753-17,호텔,240
70,CU괘법한신점,부산 사상구 운산로 22-0,쇼핑기타,235
71,프리미엄아바호텔,부산 사상구 새벽로223번길 26-0,모텔/여관,232
72,CU주례삼거리점,부산 사상구 가야대로 260-0,쇼핑기타,225
73,삼락수상레포츠타운,부산 사상구,수상해양스포츠,223
74,삼락습지생태원,부산 사상구,공원,222
75,한아름할인마트,부산 사상구 엄궁로 97-0,쇼핑기타,219
76,빈스70호텔,부산 사상구 사상로211번길 56-0,모텔/여관,218
77,엔젤모텔,부산 사상구 학감대로39번길 49-0,모텔/여관,214
78,사상구청소년수련관,부산 사상구 덕상로 129-0,수련장,213
79,거성스크린골프클럽,부산 사상구 사상로349번길 19-0,골프장,210
80,부산철강판매단지,부산 사상구 강변대로532번길 41-0,쇼핑기타,208
81,브라운도트호텔사상르네시떼점,부산 사상구 새벽로223번길 83-0,호텔,207
82,ND.1226호텔,부산 사상구 낙동대로 1226-0,모텔/여관,205
83,롯데주류스피리츠부산지점,부산 사상구 낙동대로1318번길 47-0,쇼핑기타,200
84,청과물직판장,부산 사상구 농산물시장로25번길 70-0,농수축산물시장,198
85,삼락생태공원테니스장,부산 사상구,레저/스포츠기타,195
85,코끼리툴,부산 사상구 괘감로 21-0,쇼핑기타,195
87,코코모텔,부산 사상구 학감대로39번길 49-0,모텔/여관,194
88,삼락강변체육공원야구장,부산 사상구,운동장,193
89,하나마트,부산 사상구 새벽시장로103번길 21-0,쇼핑기타,191
90,삼락생태공원연꽃단지,부산 사상구,공원,189
91,넘버25호텔사상구청점,부산 사상구 학감대로237번길 12-0,호텔,186
91,유나팩,부산 사상구 사상로 551-0,쇼핑기타,186
93,호텔더반,부산 사상구 사상로224번길 10-0,모텔/여관,181
94,양지2공원,부산 사상구,공원,179
95,mu모텔,부산 사상구 사상로211번길 46-0,모텔/여관,178
96,학장삼정그린코아아파트상가,부산 사상구 학감대로123번길 67-0,쇼핑기타,171
97,디자인호텔짝,부산 사상구 낙동대로 717-0,모텔/여관,169
98,나무늘보호텔,부산 사상구 사상로211번길 28-0,모텔/여관,168
98,부산농협화훼판매장,부산 사상구 강변대로 512-0,쇼핑기타,168
100,아리엘호텔,부산 사상구 낙동대로 1406-0,모텔/여관,159
