,순위,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수,구군명
10604,10587,락오디세이,부산 동래구 안남로31번길 6-0,레포츠(육상/해상/항공),레저/스포츠기타,102,동래구
4832,4831,덕두테니스장,부산 강서구,레포츠(육상/해상/항공),레저/스포츠기타,550,강서구
4823,4823,레이즈스포츠,부산 사하구 다대로354번길 41-1,레포츠(육상/해상/항공),레저/스포츠기타,552,사하구
7127,7119,해운대문화복합센터헬스장,부산 해운대구 센텀중앙로 170-0,레포츠(육상/해상/항공),레저/스포츠기타,251,해운대구
2112,2112,서면볼링센터,부산 부산진구 신천대로 252-0,레포츠(육상/해상/항공),레저/스포츠기타,1893,부산진구
2284,2284,스카이짐,부산 동래구 안남로 108-0,레포츠(육상/해상/항공),레저/스포츠기타,1735,동래구
8013,8004,사직테니스장,부산 동래구,레포츠(육상/해상/항공),레저/스포츠기타,193,동래구
7105,7092,아이콘휘트니스,부산 사하구 낙동남로 1422-0,레포츠(육상/해상/항공),레저/스포츠기타,253,사하구
1757,1758,목림레포츠,부산 연제구 중앙대로1043번길 50-0,레포츠(육상/해상/항공),레저/스포츠기타,2306,연제구
5243,5242,우신프라자볼링장,부산 사상구 백양대로 884-0,레포츠(육상/해상/항공),레저/스포츠기타,468,사상구
5704,5699,정석볼링센터,부산 사하구 낙동대로 542-0,레포츠(육상/해상/항공),레저/스포츠기타,398,사하구
9559,9557,어댑핏,부산 금정구 금샘로 361-0,레포츠(육상/해상/항공),레저/스포츠기타,130,금정구
5717,5708,부산스쿼시클럽,부산 남구 황령대로319번가길 190-6,레포츠(육상/해상/항공),레저/스포츠기타,397,남구
687,688,재송볼링장,부산 해운대구 재반로 16-0,레포츠(육상/해상/항공),레저/스포츠기타,6049,해운대구
5189,5186,우성볼링센터,부산 사상구 괘감로 131-0,레포츠(육상/해상/항공),레저/스포츠기타,479,사상구
10491,10458,허니당구장,부산 금정구 청룡로 7-0,레포츠(육상/해상/항공),레저/스포츠기타,105,금정구
9544,9529,메디앤컬필라테스개금점,부산 부산진구 가야대로 489-0,레포츠(육상/해상/항공),레저/스포츠기타,131,부산진구
5739,5740,화명온천레포츠,부산 북구 와석장터로 20-0,레포츠(육상/해상/항공),레저/스포츠기타,393,북구
5132,5130,인트로피트니스,부산 연제구 반송로 89-0,레포츠(육상/해상/항공),레저/스포츠기타,488,연제구
7107,7107,더매력짐,부산 금정구 부곡로 50-0,레포츠(육상/해상/항공),레저/스포츠기타,252,금정구
5805,5806,수영구민체육센터,부산 수영구 광남로257번길 12-0,레포츠(육상/해상/항공),레저/스포츠기타,384,수영구
5034,5034,벨로시티휘트니스화명점,부산 북구 화명대로 27-0,레포츠(육상/해상/항공),레저/스포츠기타,508,북구
10461,10458,BM필라테스&PT부산센텀점,부산 해운대구 센텀북대로 60-0,레포츠(육상/해상/항공),레저/스포츠기타,105,해운대구
10475,10458,유네스코짐,부산 해운대구 송정광어골로 63-0,레포츠(육상/해상/항공),레저/스포츠기타,105,해운대구
2290,2290,기장군국민체육센터,부산 기장군 체육공원1로 29-0,레포츠(육상/해상/항공),레저/스포츠기타,1730,기장군
2433,2433,기장생활체육센터,부산 기장군 차성서로109번길 24-0,레포츠(육상/해상/항공),레저/스포츠기타,1580,기장군
4127,4126,올림픽기념국민생활관,부산 해운대구 APEC로 68-0,레포츠(육상/해상/항공),레저/스포츠기타,722,해운대구
6707,6707,모노루가,부산 사상구 가야대로 173-0,레포츠(육상/해상/항공),레저/스포츠기타,288,사상구
9878,9843,오륜동풋살장,부산 금정구,레포츠(육상/해상/항공),레저/스포츠기타,121,금정구
12398,12366,킴킴탁구클럽,부산 연제구 중앙대로1150번길 52-0,레포츠(육상/해상/항공),레저/스포츠기타,69,연제구
11923,11875,힐탑24시피트니스,부산 남구 분포로 115-0,레포츠(육상/해상/항공),레저/스포츠기타,76,남구
3311,3312,서핑역,부산 기장군 차성서로101번길 18-0,레포츠(육상/해상/항공),레저/스포츠기타,1003,기장군
1608,1609,조이배드민턴센터,부산 강서구 대저로89번가길 59-0,레포츠(육상/해상/항공),레저/스포츠기타,2530,강서구
11876,11875,더진짜휘트니스주례점,부산 사상구 백양대로 370-0,레포츠(육상/해상/항공),레저/스포츠기타,76,사상구
2816,2816,강동에이스배드민턴,부산 강서구 제도로 814-0,레포츠(육상/해상/항공),레저/스포츠기타,1298,강서구
12436,12432,잇짐,부산 사상구 광장로 84-0,레포츠(육상/해상/항공),레저/스포츠기타,68,사상구
7423,7417,KN퍼스널트레이닝법원점,부산 연제구 법원로 2-0,레포츠(육상/해상/항공),레저/스포츠기타,229,연제구
3770,3769,볼원볼링장,부산 해운대구 센텀서로 30-0,레포츠(육상/해상/항공),레저/스포츠기타,816,해운대구
3298,3297,FCMJ풋볼아카데미,부산 강서구 영강길 140-0,레포츠(육상/해상/항공),레저/스포츠기타,1009,강서구
11865,11804,범내골볼링센터,부산 부산진구 범일로 181-0,레포츠(육상/해상/항공),레저/스포츠기타,77,부산진구
3297,3297,ILB베팅센터부산점,부산 강서구 낙동남로1013번길 25-0,레포츠(육상/해상/항공),레저/스포츠기타,1009,강서구
6462,6454,빅투아테니스,부산 부산진구 동성로 20-0,레포츠(육상/해상/항공),레저/스포츠기타,311,부산진구
11851,11804,렉스마부산점,부산 남구 용소로28번길 8-0,레포츠(육상/해상/항공),레저/스포츠기타,77,남구
11924,11875,펀펀짐본점,부산 연제구 월드컵대로 54-0,레포츠(육상/해상/항공),레저/스포츠기타,76,연제구
11752,11694,안현정요가,부산 동래구 중앙대로1367번길 32-13,레포츠(육상/해상/항공),레저/스포츠기타,79,동래구
1098,1098,부산진구국민체육센터,부산 부산진구 진남로328번길 35-0,레포츠(육상/해상/항공),레저/스포츠기타,3826,부산진구
8652,8642,더케이짐,부산 강서구 명지오션시티11로 66-0,레포츠(육상/해상/항공),레저/스포츠기타,164,강서구
12478,12432,큐브휘트니스수영점,부산 수영구 수영로 668-0,레포츠(육상/해상/항공),레저/스포츠기타,68,수영구
1629,1630,서부산권장애인스포츠센터,부산 사하구 낙동남로1233번길 20-0,레포츠(육상/해상/항공),레저/스포츠기타,2498,사하구
12489,12432,디바피티명지4호점,부산 강서구 명지국제8로 235-0,레포츠(육상/해상/항공),레저/스포츠기타,68,강서구
