순위,관광지명,주소,분류,현지인 검색 수
38,커넥트부산호텔&레지던스,부산 중구 대교로 115-1,호텔,90
39,하운드호텔,부산 중구 보수대로 24-0,호텔,85
40,BIFF광장,부산 중구,놀거리기타,74
41,롯데시네마대영,부산 중구 비프광장로 37-0,극장,71
42,소유호텔,부산 중구 대청로126번길 23-0,모텔/여관,68
43,오픈스페이스배,부산 중구 동광길 43-0,미술관,65
44,부산타워,부산 중구 용두산길 37-55,전망대,64
44,헬스보이짐남포점,부산 중구 광복로39번길 6-0,레저/스포츠기타,64
46,민주공원민주항쟁기념관,부산 중구 민주공원길 19-0,박물관/기념관,60
47,스탠포드인부산,부산 중구 구덕로 53-0,호텔,53
48,남포문고,부산 중구 중구로 13-0,쇼핑기타,48
49,헤르메스호텔,부산 중구 보수대로 26-0,호텔,47
49,호텔그레이남포점,부산 중구 보수대로124번길 82-0,호텔,47
51,YTT호텔남포,부산 중구 백산길 15-0,호텔,46
52,40계단거리,부산 중구,놀거리기타,44
53,더 하운드 호텔,부산 중구 대청로126번길 9-0,호텔,43
53,다이소부산남포점,부산 중구 구덕로 46-0,쇼핑기타,43
55,호텔포레프리미어남포점,부산 중구 구덕로 54-1,호텔,41
56,호텔아벤트리부산,부산 중구 광복로39번길 6-0,호텔,35
56,다이소부산국제시장점,부산 중구 중구로 13-0,쇼핑기타,35
58,보수동책방골목문화관,부산 중구 대청로 61-2,문화원,33
59,현음악기사,부산 중구 남포길 45-2,쇼핑기타,31
60,메가박스부산극장본관,부산 중구 비프광장로 36-0,극장,29
61,스테이웰호텔,부산 중구 구덕로 22-0,호텔,28
62,호텔더루아남포롯데점,부산 중구 대청로134번길 23-0,모텔/여관,27
63,월드밸리수입상가,부산 중구 대청로 60-0,쇼핑기타,25
64,남포동건어물시장,부산 중구 용미길8번길 7-0,농수축산물시장,23
65,고심정사,부산 중구 대청로135번길 20-0,절,22
66,백산기념관,부산 중구 백산길 11-0,박물관/기념관,19
66,금강제화부산본점,부산 중구 광복로 59-0,쇼핑기타,19
68,아리아호텔,부산 중구 중앙대로41번길 23-0,호텔,18
68,엠유,부산 중구 대청로126번길 36-0,호텔,18
68,투헤븐호텔,부산 중구 흑교로21번길 7-0,모텔/여관,18
68,호텔콘트,부산 중구 용두산길 12-0,호텔,18
68,영동과학,부산 중구 흑교로35번길 19-1,쇼핑기타,18
73,미타선원,부산 중구 광복로77번길 5-0,절,17
73,부산문구,부산 중구 흑교로25번길 7-0,쇼핑기타,17
73,썸바디,부산 중구 해관로 3-0,레저/스포츠기타,17
73,다이아몬드타워,부산 중구 용두산길 37-55,전망대,17
77,오션투헤븐호텔&스파,부산 중구 자갈치로 21-0,모텔/여관,16
77,웰빙체육관,부산 중구 영주로 89-0,운동장,16
79,세븐모텔,부산 중구 보수대로 8-5,모텔/여관,15
79,호텔린,부산 중구 구덕로34번길 4-0,모텔/여관,15
79,한양주방,부산 중구 흑교로 33-0,농수축산물시장,15
82,더라스트호텔,부산 중구 광복로85번길 5-7,모텔/여관,14
82,브이호텔,부산 중구 보수대로 8-3,모텔/여관,14
82,신천지시장,부산 중구 자갈치로 33-0,쇼핑기타,14
82,개나리슈퍼,부산 중구 망양로 298-0,쇼핑기타,14
86,WA호텔,부산 중구 광복로97번안길 5-0,모텔/여관,13
86,센트럴파크호텔부산,부산 중구 해관로 20-0,호텔,13
86,부산항,부산 중구,항구,13
86,카카오프렌즈부산플래그십스토어,부산 중구 광복로 62-0,쇼핑기타,13
90,디스커버리광복점,부산 중구 광복로 66-2,쇼핑기타,12
90,창선시장,부산 중구 중구로 28-0,시장기타,12
92,보수동책방골목어린이도서관,부산 중구 대청로 57-16,문화생활시설기타,11
92,줌인,부산 중구 광복로 95-1,쇼핑기타,11
