,Unnamed: 0,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,구군명,주소,위도,경도
61,61,국립부산어린이과학관건축중(2021년12월개관예정),부산 기장군 동부산관광6로 59-0,문화시설,과학관,Gijang-gun,부산 기장군 동부산관광6로 59-0,35.1992151,129.2112373
62,62,고불사,부산 기장군 고촌로28번길 77-0,역사관광지,절,Gijang-gun,부산 기장군 고촌로28번길 77,35.2400802,129.1709217
63,63,고반재,부산 기장군 석산길 39-5,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 석산길 39-5,35.2078926,129.2098595
64,64,지장암,부산 기장군 임기3길 88-24,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
65,65,봉림사,부산 기장군 부명1길 20-0,역사관광지,절,Gijang-gun,부산 기장군 부명1길 20-0,35.3623494,129.1460772
66,66,정암사,부산 기장군 곰내길 379-6,역사관광지,절,Gijang-gun,부산 기장군 곰내길 379-6,35.30505,129.1716354
67,67,대천사,부산 기장군 제석골길 89-0,역사관광지,절,Gijang-gun,부산 기장군 제석골길 89-0,35.341885,129.1728927
68,68,연암수목원,부산 기장군 철마천로 212-0,휴양관광지,동식물원,Gijang-gun,부산 기장군 철마천로 212,35.2717094,129.131771
69,69,동림사,부산 기장군 기장대로 143-12,역사관광지,절,Gijang-gun,부산 기장군 기장대로 143-12,35.3311736,129.247094
70,70,기장죽성리해송,부산 기장군 두호2길 20-0,역사관광지,문화유적지,Gijang-gun,부산 기장군 두호2길 20-0,35.2402054,129.2457066
71,71,극락암,부산 기장군 철마로 425-0,역사관광지,절,Gijang-gun,부산 기장군 철마로 425,35.27544,129.14606
72,72,수도암,부산 기장군 홍류길 44-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
73,73,방곡사,부산 기장군 구연방곡로 87-0,역사관광지,절,Gijang-gun,부산 기장군 구연방곡로 87,35.3204109,129.1841731
74,74,꿈꾸는공방,부산 기장군 가동2길 4-0,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 가동2길 4-0,35.3274093,129.180622
75,75,원적사,부산 기장군 장곡길 63-34,역사관광지,절,Gijang-gun,부산 기장군 장곡길 63-34,35.30396,129.25007
76,76,초암사,부산 기장군 동서길 79-57,역사관광지,절,Gijang-gun,부산 기장군 동서길 79-57,35.2556772,129.1999393
77,77,휴심사,부산 기장군 일광로 493-47,역사관광지,절,Gijang-gun,부산 기장군 일광로 493-47,35.31492,129.26159
78,78,갤러리후아,부산 기장군 곰내길 242-0,문화시설,문화생활시설기타,Gijang-gun,부산 기장군 곰내길 242,35.30505,129.1716354
79,79,보원사,부산 기장군 양수길 7-11,역사관광지,절,Gijang-gun,부산 기장군 양수길 7-11,35.330241,129.1627714
80,80,도선사,부산 기장군 상곡길 116-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
81,81,선바위유원지,부산 기장군,휴양관광지,유원지,Gijang-gun,부산 기장군,35.2446,129.223
82,82,고려암,부산 기장군 화전2길 51-0,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
83,83,덕주사,부산 기장군 장곡길 63-10,역사관광지,절,Gijang-gun,부산 기장군 장곡길 63-10,35.30396,129.25007
84,84,수효사,부산 기장군 방모산2길 20-23,역사관광지,절,Gijang-gun,부산 기장군 방모산2길 20-23,35.3405168,129.2537799
85,85,대성사,부산 기장군 달음길 30-18,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
86,86,횡금사,부산 기장군 곡천길 286-320,역사관광지,절,Gijang-gun,부산 기장군 곡천길 286,35.2773244,129.1906238
87,87,기장도예관,부산 기장군 임랑해안길 82-0,문화시설,화랑/전시관,Gijang-gun,부산 기장군 임랑해안길 82,35.3170707,129.2630681
88,88,원효대,부산 기장군 상곡길 45-8,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
89,89,묘법사,부산 기장군,역사관광지,절,Gijang-gun,부산 기장군,35.2446,129.223
90,90,국립부산어린이과학관건축중(2022년1월개관예정),부산 기장군 동부산관광6로 59-0,문화시설,과학관,Gijang-gun,부산 기장군 동부산관광6로 59-0,35.1992151,129.2112373
91,91,장안요,부산 기장군 하장안1길 24-0,문화시설,문화생활시설기타,Gijang-gun,부산 기장군,35.2446,129.223
