순위,관광지명,주소,분류,현지인 검색 수
39,명지동근린공원,부산 강서구 명지오션시티7로 30-0,공원,1026
40,알통클럽명지점,부산 강서구 명지국제1로 60-1,레저/스포츠기타,985
41,뉴오션골프연습장,부산 강서구 르노삼성대로 630-0,골프장,972
42,우리마트지사점,부산 강서구 과학산단2로10번길 31-0,쇼핑기타,956
43,서린골프클럽,부산 강서구 명지국제1로 60-1,골프장,951
44,명지시장활어센터,부산 강서구 신포길 13-9,농수축산물시장,913
45,대저수문,부산 강서구 공항로 1516-0,관광명소기타,893
46,네오웨스턴스퀘어,부산 강서구 명지국제2로28번길 23-0,쇼핑기타,869
47,대항방파제,부산 강서구,방파제,855
48,국군복지단해성마트,부산 강서구 공항진입로42번길 20-0,쇼핑기타,847
49,드림디포명지점,부산 강서구 명지오션시티9로 33-0,쇼핑기타,831
50,새바지방파제,부산 강서구,방파제,824
51,연대봉,부산 강서구,명산,823
52,공항상회,부산 강서구 평강로 185-1,쇼핑기타,806
53,넘버25호텔명지서부지청점,부산 강서구 명지국제2로28번길 7-0,호텔,779
54,명지오이아호텔,부산 강서구 명지국제6로1번길 24-0,호텔,769
55,트렉스타녹산상설매장,부산 강서구 녹산산업중로192번길 10-0,쇼핑기타,743
56,씨엘오션호텔,부산 강서구 명지국제6로34번길 22-0,호텔,741
57,울림공원,부산 강서구 명지국제6로318번길 77-0,공원,692
58,더포인트호텔서부지청점,부산 강서구 명지국제2로28번길 8-0,호텔,678
59,연민숙반찬,부산 강서구 명지국제5로 141-0,쇼핑기타,661
60,호텔오유,부산 강서구 명지국제6로 21-0,호텔,634
61,피싱마트21,부산 강서구 미음산단로8번길 6-0,낚시,618
62,삼성프라자,부산 강서구 명지국제8로 264-0,쇼핑기타,607
63,E편한세상명지아파트상가,부산 강서구 명지국제2로 80-0,쇼핑기타,603
64,강서도서관,부산 강서구 공항로811번길 10-0,문화생활시설기타,601
65,퀸덤몰,부산 강서구 명지오션시티10로 16-0,쇼핑기타,586
66,김해체력단련장,부산 강서구,골프장,584
67,부산항홍보관,부산 강서구 신항로 96-87,화랑/전시관,582
68,신호공원축구장,부산 강서구,운동장,566
69,캠핑트렁크부산명지점,부산 강서구 명지국제12로 52-0,쇼핑기타,553
70,SG골프대명스크린,부산 강서구 명지국제8로10번길 12-0,골프장,552
71,보리떡다섯개,부산 강서구 신호산단5로 68-0,쇼핑기타,539
72,신호공원,부산 강서구,공원,523
73,몽키몽키롤러장,부산 강서구 명지국제1로 56-1,스케이트장,521
73,보람공원,부산 강서구 녹산산단262로14번길 20-0,공원,521
75,금호식품,부산 강서구 녹산화전로 283-0,쇼핑기타,512
76,반누리반품닷컴서부산점,부산 강서구 유통단지1로57번가길 67-0,쇼핑기타,489
77,신호사랑으로부영3차아파트상가,부산 강서구 신호산단5로 31-0,쇼핑기타,486
78,브라운도트호텔신호점,부산 강서구 신호산단1로72번길 33-0,모텔/여관,442
78,명지삼융스크린골프,부산 강서구 명지국제2로28번길 26-0,골프장,442
80,녹산수문아울렛패션거리,부산 강서구 낙동남로 657-0,살거리기타,436
81,네오피트니스명지점,부산 강서구 명지국제8로10번길 16-0,레저/스포츠기타,435
82,발렌시아CF풋살파크,부산 강서구,레저/스포츠기타,428
83,토이스토어부산점,부산 강서구 낙동남로 618-0,쇼핑기타,419
84,수능엄사,부산 강서구 낙동남로 754-16,절,416
85,가덕도등대,부산 강서구 가덕해안로 1237-0,등대,413
86,브라운도트호텔명지점,부산 강서구 르노삼성대로 576-6,모텔/여관,411
87,델타루,부산 강서구,전망대,409
88,국회부산도서관건축중(2022년02월개관예정),부산 강서구 명지국제1로 161-0,문화생활시설기타,405
